frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"116","0.055148000","192.168.183.2","192.168.183.133","53","57733","370","0x0000c659","1","0","api.336d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"kX7SnvogKduNzBDW014c2oeE4Xc1vtYyfF0SQXFsVKmKzoVevMshmwcAXmcY6TLslJw4qu/BZaTrH46zWr/JZVljY2Ehx73C03vdijwqELZ/P5AzDVaSNuz8j5XNY3LZcO67DN2yNaxO8B87HVtv4sfYK3ITTm8UH0hexUAIDM9N5JLh8/EQqYQan2kz48BlsEhHdoKpRh03ShXmIxcbVNmK+iliarqwJMln9o4lKhuaVsgl9UPrkXhAvbms","252","0"
"117","0.001036000","192.168.183.133","192.168.183.2","55216","53","105","0x00002887","0","0","api.346d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"118","0.055372000","192.168.183.2","192.168.183.133","53","55216","370","0x00002887","1","0","api.346d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"4hAQ9f2swP39OFUTFXP92W9ey+i7g1H4xJCX6faRuIMXkOcHy/cGKoc+4rIBd2xbMWpExslPFwN9WsMnf+wJcEz8xzyoI4VVgfBLYxJdzcx1nLdGYlMIo+RDVKfKxCoISrxo59fu3IhRiXyzEP6u6wCJlNVC7MoDFMoZu3umsxAl3kvHomBOr1//tExvmNpbBo7IRyIdD0niVJlH/diaTK77kQX4EUv8e40XOapUhrkosM6n56NgNupB0wJU","252","0"
"119","0.000961000","192.168.183.133","192.168.183.2","64596","53","105","0x00002372","0","0","api.356d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"120","0.050558000","192.168.183.2","192.168.183.133","53","64596","370","0x00002372","1","0","api.356d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"99IpDl0cSzZ6pv7V21q8g1IOGnmFV/A9ybJfEDIPPI0GepycPAOCtij7YuMHg1esIA1XNbI375rXzH0a+IySDMAnDIVdex0QvLYG02CN790weUuC/sKiD8Brgw/OhH2Cqd+oPuovhy0AxlqLrYsrut+tjjepz5Tba9B+IV9kVOEWUbEf5TisviYlxezittXBJ/9ZSH0cJfcIbsJOb57DYPkyf78f6s0OyHehY5q6+3Krm/Hc1QgDEA/naCDD","252","0"
"121","0.001368000","192.168.183.133","192.168.183.2","54616","53","105","0x0000b045","0","0","api.366d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"122","0.579487000","192.168.183.2","192.168.183.133","53","54616","370","0x0000b045","1","0","api.366d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"qt56/BexAZsyfo3o78HBh6MFiJIV4Eypkrrb9dfe4YVR3nfB80KNOfuzINsbT0/pjt1EBiU1dLTrjW8cZP/94yLGFBH/dPNwZdNByggNsFmWoHf0hxeKKx99vt/ve07o/dNTln+naGejCON6tchUg6lXsWQmx5PF/56h9CaCuRhlfitv508TQt+Io320yGGuhvklK/Tsmo2ccZacDxkUKUR3LPdBGpq/Eci+RR2T+Vc2/g/jroY0z1Ee1iiw","252","0"
"123","0.000966000","192.168.183.133","192.168.183.2","52576","53","105","0x0000c9ee","0","0","api.376d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"124","0.753071000","192.168.183.2","192.168.183.133","53","52576","370","0x0000c9ee","1","0","api.376d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"diG8jrWrA6Digai1dudCMj6AUGWiK88xpg2xCOQ5Z0wunSRvvWRdMBk+EkjK9uzwulF6EF0yGRjqZrUheEwZEmNw5n2XzgOiBJJkFLkEA2uOOdIPPZ3e5TmKyq53FWDpvMwoRTQTAl2eKwaDyo56XtIsUPpU2nOgy5UPNSpcRtFq2cj0z2FMIvI8MUaoK03YiCXwucutwCjrK8R9yjLJ+A3lRijF/8QFgWIGdjiFimFB1tsITS+JJhoxHzDM","252","0"
"125","0.000937000","192.168.183.133","192.168.183.2","52968","53","105","0x0000ac3b","0","0","api.386d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
