frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
5.020293,192.168.81.139,192.168.81.2,60094,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001471,192.168.81.139,192.168.81.2,57988,53,104,0,api.013cd5426.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.193,,,0.0
0.002079,192.168.81.139,192.168.81.2,59830,53,104,0,api.113cd5426.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,353,,duSTMlyhcd8w5ygyTR3Z6XVxv5Pb51aFBm78yz3ecG0R24XnC8Vs27gUnROwywHkjGY8V75e/VKrwFYtTyV1Fl2lugkZ9RqoTtu1Rk9mAfStJUch4u0U9/pYhK4h4EEC95YGuTYHUmOq3oOiAe2asfLEzOJ+NhbGpHB+3SoxEAM9F7f0pGt3DxGCQ6dXt+oOgCaTFo+rOMA1XLq1PVgMMYIr5VwQvTfNEchZdUsSSOU=,236.0,0.0
0.002079,192.168.81.139,192.168.81.2,59830,53,104,0,api.113cd5426.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,353,,duSTMlyhcd8w5ygyTR3Z6XVxv5Pb51aFBm78yz3ecG0R24XnC8Vs27gUnROwywHkjGY8V75e/VKrwFYtTyV1Fl2lugkZ9RqoTtu1Rk9mAfStJUch4u0U9/pYhK4h4EEC95YGuTYHUmOq3oOiAe2asfLEzOJ+NhbGpHB+3SoxEAM9F7f0pGt3DxGCQ6dXt+oOgCaTFo+rOMA1XLq1PVgMMYIr5VwQvTfNEchZdUsSSOU=,236.0,0.0
1.026247,192.168.81.139,192.168.81.2,59830,53,104,0,api.113cd5426.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,353,,duSTMlyhcd8w5ygyTR3Z6XVxv5Pb51aFBm78yz3ecG0R24XnC8Vs27gUnROwywHkjGY8V75e/VKrwFYtTyV1Fl2lugkZ9RqoTtu1Rk9mAfStJUch4u0U9/pYhK4h4EEC95YGuTYHUmOq3oOiAe2asfLEzOJ+NhbGpHB+3SoxEAM9F7f0pGt3DxGCQ6dXt+oOgCaTFo+rOMA1XLq1PVgMMYIr5VwQvTfNEchZdUsSSOU=,236.0,0.0
1.026247,192.168.81.139,192.168.81.2,59830,53,104,0,api.113cd5426.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,353,,duSTMlyhcd8w5ygyTR3Z6XVxv5Pb51aFBm78yz3ecG0R24XnC8Vs27gUnROwywHkjGY8V75e/VKrwFYtTyV1Fl2lugkZ9RqoTtu1Rk9mAfStJUch4u0U9/pYhK4h4EEC95YGuTYHUmOq3oOiAe2asfLEzOJ+NhbGpHB+3SoxEAM9F7f0pGt3DxGCQ6dXt+oOgCaTFo+rOMA1XLq1PVgMMYIr5VwQvTfNEchZdUsSSOU=,236.0,0.0
0.004649,192.168.81.139,192.168.81.2,62325,53,109,0,post.180.062357be7.2bb0a7b2.ns1.ssltestdomain.xyz,A,125,74.125.196.113,,,0.0
0.004649,192.168.81.139,192.168.81.2,62325,53,109,0,post.180.062357be7.2bb0a7b2.ns1.ssltestdomain.xyz,A,125,74.125.196.113,,,0.0
1.01441,192.168.81.139,192.168.81.2,62325,53,109,0,post.180.062357be7.2bb0a7b2.ns1.ssltestdomain.xyz,A,125,74.125.196.113,,,0.0
1.01441,192.168.81.139,192.168.81.2,62325,53,109,0,post.180.062357be7.2bb0a7b2.ns1.ssltestdomain.xyz,A,125,74.125.196.113,,,0.0
